Master SKU,Channel SKU,Product Name,Brand,Category,Cost Price,Selling Price
CIQ-WEA-0068,AMZ-00068,Kids Tracker Grey 068,Noise,Wearables,2660,4850
CIQ-ACC-0069,AMZ-00069,USB-C Cable Black 069,Acme,Accessories,440,720
CIQ-TRA-0070,AMZ-00070,Laptop Sleeve Grey 070,Acme Gear,Travel,980,1720
CIQ-HOM-0071,AMZ-00071,Air Purifier Mini Black 071,Acme Home,Home,860,1760
CIQ-MOB-0072,AMZ-00072,Screen Protector Grey 072,Acme Mobile,Mobile,1030,2320
CIQ-AUD-0073,AMZ-00073,TWS Earbuds Black 073,boAt,Audio,440,740
CIQ-WEA-0074,AMZ-00074,Fitness Band Grey 074,Noise,Wearables,630,1280
CIQ-ACC-0075,AMZ-00075,Phone Stand Black 075,Acme,Accessories,300,670
CIQ-TRA-0076,AMZ-00076,Organizer Pouch Grey 076,Acme Gear,Travel,550,1060
CIQ-HOM-0077,AMZ-00077,Desk Lamp Black 077,Acme Home,Home,1090,1860
CIQ-MOB-0078,AMZ-00078,Wireless Charger Grey 078,Acme Mobile,Mobile,380,680
CIQ-AUD-0079,AMZ-00079,Neckband Black 079,boAt,Audio,1000,2070
CIQ-WEA-0080,AMZ-00080,Kids Tracker Grey 080,Noise,Wearables,2100,3960
CIQ-ACC-0081,AMZ-00081,USB-C Cable Black 081,Acme,Accessories,210,390
CIQ-TRA-0082,AMZ-00082,Laptop Sleeve Grey 082,Acme Gear,Travel,1080,2710
CIQ-HOM-0083,AMZ-00083,Air Purifier Mini Black 083,Acme Home,Home,1400,3600
CIQ-MOB-0084,AMZ-00084,Screen Protector Grey 084,Acme Mobile,Mobile,790,1590
CIQ-AUD-0085,AMZ-00085,TWS Earbuds Black 085,boAt,Audio,390,950
CIQ-WEA-0086,AMZ-00086,Fitness Band Grey 086,Noise,Wearables,800,1980
CIQ-ACC-0087,AMZ-00087,Phone Stand Black 087,Acme,Accessories,120,280
CIQ-TRA-0088,AMZ-00088,Organizer Pouch Grey 088,Acme Gear,Travel,1050,1750
CIQ-HOM-0089,AMZ-00089,Desk Lamp Black 089,Acme Home,Home,1380,2970
CIQ-MOB-0090,AMZ-00090,Wireless Charger Grey 090,Acme Mobile,Mobile,690,1320
CIQ-AUD-0091,AMZ-00091,Neckband Black 091,boAt,Audio,930,1520
CIQ-WEA-0092,AMZ-00092,Kids Tracker Grey 092,Noise,Wearables,680,1380
CIQ-ACC-0093,AMZ-00093,USB-C Cable Black 093,Acme,Accessories,290,730
CIQ-TRA-0094,AMZ-00094,Laptop Sleeve Grey 094,Acme Gear,Travel,1650,3320
CIQ-HOM-0095,AMZ-00095,Air Purifier Mini Black 095,Acme Home,Home,1980,3280
CIQ-MOB-0096,AMZ-00096,Screen Protector Grey 096,Acme Mobile,Mobile,920,1770
CIQ-AUD-0097,AMZ-00097,TWS Earbuds Black 097,boAt,Audio,720,1620
CIQ-WEA-0098,AMZ-00098,Fitness Band Grey 098,Noise,Wearables,1110,2410
CIQ-ACC-0099,AMZ-00099,Phone Stand Black 099,Acme,Accessories,270,550
CIQ-TRA-0100,AMZ-00100,Organizer Pouch Grey 100,Acme Gear,Travel,630,1630
CIQ-HOM-0101,AMZ-00101,Desk Lamp Black 101,Acme Home,Home,830,1400
CIQ-MOB-0102,AMZ-00102,Wireless Charger Grey 102,Acme Mobile,Mobile,710,1720
CIQ-AUD-0103,AMZ-00103,Neckband Black 103,boAt,Audio,630,1540
CIQ-WEA-0104,AMZ-00104,Kids Tracker Grey 104,Noise,Wearables,1810,3340
CIQ-ACC-0105,AMZ-00105,USB-C Cable Black 105,Acme,Accessories,200,370
CIQ-TRA-0106,AMZ-00106,Laptop Sleeve Grey 106,Acme Gear,Travel,980,1770
CIQ-HOM-0107,AMZ-00107,Air Purifier Mini Black 107,Acme Home,Home,1730,4270
CIQ-MOB-0108,AMZ-00108,Screen Protector Grey 108,Acme Mobile,Mobile,1460,2440
CIQ-AUD-0109,AMZ-00109,TWS Earbuds Black 109,boAt,Audio,950,2450
CIQ-WEA-0110,AMZ-00110,Fitness Band Grey 110,Noise,Wearables,860,1680
CIQ-ACC-0111,AMZ-00111,Phone Stand Black 111,Acme,Accessories,320,550
CIQ-TRA-0112,AMZ-00112,Organizer Pouch Grey 112,Acme Gear,Travel,780,1360
CIQ-HOM-0113,AMZ-00113,Desk Lamp Black 113,Acme Home,Home,1770,2900
CIQ-MOB-0114,AMZ-00114,Wireless Charger Grey 114,Acme Mobile,Mobile,400,900
CIQ-AUD-0115,AMZ-00115,Neckband Black 115,boAt,Audio,1080,2440
CIQ-WEA-0116,AMZ-00116,Kids Tracker Grey 116,Noise,Wearables,1930,3200
CIQ-ACC-0117,AMZ-00117,USB-C Cable Black 117,Acme,Accessories,170,430
CIQ-TRA-0118,AMZ-00118,Laptop Sleeve Grey 118,Acme Gear,Travel,680,1400
CIQ-HOM-0119,AMZ-00119,Air Purifier Mini Black 119,Acme Home,Home,2600,4380
CIQ-MOB-0120,AMZ-00120,Screen Protector Grey 120,Acme Mobile,Mobile,1670,2980
